Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Average,The number of table entities in the storage account’s Table service.,No Dimensions,TableEntityCount,Table Entity Count,Count,Microsoft.Storage/storageAccounts/tableServices
Total,The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.,Transactions,Transactions,Count,Microsoft.Storage/storageAccounts/tableServices
Total,The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.,Ingress,Ingress,Bytes,Microsoft.Storage/storageAccounts/tableServices
Total,The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result,Egress,Egress,Bytes,Microsoft.Storage/storageAccounts/tableServices
Average,The average latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in AverageE2ELatency.,SuccessServerLatency,Success Server Latency,Milliseconds,Microsoft.Storage/storageAccounts/tableServices
Average,The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request,SuccessE2ELatency,Success E2E Latency,Milliseconds,Microsoft.Storage/storageAccounts/tableServices
Average,The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.,Availability,Availability,Percent,Microsoft.Storage/storageAccounts/tableServices
Average,The amount of storage used by the storage account’s Queue service in bytes.,No Dimensions,QueueCapacity,Queue Capacity,Bytes,Microsoft.Storage/storageAccounts/queueServices
Average,The number of queue in the storage account’s Queue service.,No Dimensions,QueueCount,Queue Count,Count,Microsoft.Storage/storageAccounts/queueServices
Average,The approximate number of queue messages in the storage account’s Queue service.,No Dimensions,QueueMessageCount,Queue Message Count,Count,Microsoft.Storage/storageAccounts/queueServices
Total,The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.,Transactions,Transactions,Count,Microsoft.Storage/storageAccounts/queueServices
Total,The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.,Ingress,Ingress,Bytes,Microsoft.Storage/storageAccounts/queueServices
Total,The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result,Egress,Egress,Bytes,Microsoft.Storage/storageAccounts/queueServices
Average,The average latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in AverageE2ELatency.,SuccessServerLatency,Success Server Latency,Milliseconds,Microsoft.Storage/storageAccounts/queueServices
Average,The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request,SuccessE2ELatency,Success E2E Latency,Milliseconds,Microsoft.Storage/storageAccounts/queueServices
Average,The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.,Availability,Availability,Percent,Microsoft.Storage/storageAccounts/queueServices
Average,The amount of storage used by the storage account’s File service in bytes.,No Dimensions,FileCapacity,File Capacity,Bytes,Microsoft.Storage/storageAccounts/fileServices
Average,The number of file in the storage account’s File service.,No Dimensions,FileCount,File Count,Count,Microsoft.Storage/storageAccounts/fileServices
Average,The number of file shares in the storage account’s File service.,No Dimensions,FileShareCount,File Share Count,Count,Microsoft.Storage/storageAccounts/fileServices
Total,The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.,Transactions,Transactions,Count,Microsoft.Storage/storageAccounts/fileServices
Total,The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.,Ingress,Ingress,Bytes,Microsoft.Storage/storageAccounts/fileServices
Total,The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result,Egress,Egress,Bytes,Microsoft.Storage/storageAccounts/fileServices
Average,The average latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in AverageE2ELatency.,SuccessServerLatency,Success Server Latency,Milliseconds,Microsoft.Storage/storageAccounts/fileServices
Average,The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request,SuccessE2ELatency,Success E2E Latency,Milliseconds,Microsoft.Storage/storageAccounts/fileServices
Average,The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.,Availability,Availability,Percent,Microsoft.Storage/storageAccounts/fileServices
Maximum,SU % Utilization,No Dimensions,ResourceUtilization,SU % Utilization,Percent,Microsoft.StreamAnalytics/streamingjobs
Total,Input Events,No Dimensions,InputEvents,Input Events,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Input Event Bytes,No Dimensions,InputEventBytes,Input Event Bytes,Bytes,Microsoft.StreamAnalytics/streamingjobs
Total,Late Input Events,No Dimensions,LateInputEvents,Late Input Events,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Output Events,No Dimensions,OutputEvents,Output Events,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Data Conversion Errors,No Dimensions,ConversionErrors,Data Conversion Errors,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Runtime Errors,No Dimensions,Errors,Runtime Errors,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Out of order Events,No Dimensions,DroppedOrAdjustedEvents,Out of order Events,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Function Requests,No Dimensions,AMLCalloutRequests,Function Requests,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Failed Function Requests,No Dimensions,AMLCalloutFailedRequests,Failed Function Requests,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Function Events,No Dimensions,AMLCalloutInputEvents,Function Events,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Input Deserialization Errors,No Dimensions,DeserializationError,Input Deserialization Errors,Count,Microsoft.StreamAnalytics/streamingjobs
Total,Events whose application time is earlier than their arrival time.,No Dimensions,EarlyInputEvents,Events whose application time is earlier than their arrival time.,Count,Microsoft.StreamAnalytics/streamingjobs
Average,CPU Percentage,Instance,CpuPercentage,CPU Percentage,Percent,Microsoft.Web/serverfarms
Average,Memory Percentage,Instance,MemoryPercentage,Memory Percentage,Percent,Microsoft.Web/serverfarms
Average,Disk Queue Length,Instance,DiskQueueLength,Disk Queue Length,Count,Microsoft.Web/serverfarms
Average,Http Queue Length,Instance,HttpQueueLength,Http Queue Length,Count,Microsoft.Web/serverfarms
Total,Data In,Instance,BytesReceived,Data In,Bytes,Microsoft.Web/serverfarms
Total,Data Out,Instance,BytesSent,Data Out,Bytes,Microsoft.Web/serverfarms
Total,CPU Time,Instance,CpuTime,CPU Time,Seconds,Microsoft.Web/sites (excluding functions)
Total,Requests,Instance,Requests,Requests,Count,Microsoft.Web/sites (excluding functions)
Total,Data In,Instance,BytesReceived,Data In,Bytes,Microsoft.Web/sites (excluding functions)
Total,Data Out,Instance,BytesSent,Data Out,Bytes,Microsoft.Web/sites (excluding functions)
Total,Http 101,Instance,Http101,Http 101,Count,Microsoft.Web/sites (excluding functions)
Total,Http 2xx,Instance,Http2xx,Http 2xx,Count,Microsoft.Web/sites (excluding functions)
Total,Http 3xx,Instance,Http3xx,Http 3xx,Count,Microsoft.Web/sites (excluding functions)
Total,Http 401,Instance,Http401,Http 401,Count,Microsoft.Web/sites (excluding functions)
Total,Http 403,Instance,Http403,Http 403,Count,Microsoft.Web/sites (excluding functions)
Total,Http 404,Instance,Http404,Http 404,Count,Microsoft.Web/sites (excluding functions)
Total,Http 406,Instance,Http406,Http 406,Count,Microsoft.Web/sites (excluding functions)
Total,Http 4xx,Instance,Http4xx,Http 4xx,Count,Microsoft.Web/sites (excluding functions)
Total,Http Server Errors,Instance,Http5xx,Http Server Errors,Count,Microsoft.Web/sites (excluding functions)
Average,Memory working set,Instance,MemoryWorkingSet,Memory working set,Bytes,Microsoft.Web/sites (excluding functions)
Average,Average memory working set,Instance,AverageMemoryWorkingSet,Average memory working set,Bytes,Microsoft.Web/sites (excluding functions)
Average,Average Response Time,Instance,AverageResponseTime,Average Response Time,Seconds,Microsoft.Web/sites (excluding functions)
Average,Connections,Instance,AppConnections,Connections,Count,Microsoft.Web/sites (excluding functions)
Average,Handle Count,Instance,Handles,Handle Count,Count,Microsoft.Web/sites (excluding functions)
Average,Thread Count,Instance,Threads,Thread Count,Count,Microsoft.Web/sites (excluding functions)
Total,Data In,Instance,BytesReceived,Data In,Bytes,Microsoft.Web/sites (functions)
Total,Data Out,Instance,BytesSent,Data Out,Bytes,Microsoft.Web/sites (functions)
Total,Http Server Errors,Instance,Http5xx,Http Server Errors,Count,Microsoft.Web/sites (functions)
Average,Memory working set,Instance,MemoryWorkingSet,Memory working set,Bytes,Microsoft.Web/sites (functions)
Average,Average memory working set,Instance,AverageMemoryWorkingSet,Average memory working set,Bytes,Microsoft.Web/sites (functions)
Total,Function Execution Units,Instance,FunctionExecutionUnits,Function Execution Units,Count,Microsoft.Web/sites (functions)
Total,Function Execution Count,Instance,FunctionExecutionCount,Function Execution Count,Count,Microsoft.Web/sites (functions)
Total,CPU Time,Instance,CpuTime,CPU Time,Seconds,Microsoft.Web/sites/slots
Total,Requests,Instance,Requests,Requests,Count,Microsoft.Web/sites/slots
Total,Data In,Instance,BytesReceived,Data In,Bytes,Microsoft.Web/sites/slots
Total,Data Out,Instance,BytesSent,Data Out,Bytes,Microsoft.Web/sites/slots
Total,Http 101,Instance,Http101,Http 101,Count,Microsoft.Web/sites/slots
Total,Http 2xx,Instance,Http2xx,Http 2xx,Count,Microsoft.Web/sites/slots
Total,Http 3xx,Instance,Http3xx,Http 3xx,Count,Microsoft.Web/sites/slots
Total,Http 401,Instance,Http401,Http 401,Count,Microsoft.Web/sites/slots
Total,Http 403,Instance,Http403,Http 403,Count,Microsoft.Web/sites/slots
Total,Http 404,Instance,Http404,Http 404,Count,Microsoft.Web/sites/slots
Total,Http 406,Instance,Http406,Http 406,Count,Microsoft.Web/sites/slots
Total,Http 4xx,Instance,Http4xx,Http 4xx,Count,Microsoft.Web/sites/slots
Total,Http Server Errors,Instance,Http5xx,Http Server Errors,Count,Microsoft.Web/sites/slots
Average,Memory working set,Instance,MemoryWorkingSet,Memory working set,Bytes,Microsoft.Web/sites/slots
Average,Average memory working set,Instance,AverageMemoryWorkingSet,Average memory working set,Bytes,Microsoft.Web/sites/slots
Average,Average Response Time,Instance,AverageResponseTime,Average Response Time,Seconds,Microsoft.Web/sites/slots
Total,Function Execution Units,Instance,FunctionExecutionUnits,Function Execution Units,Count,Microsoft.Web/sites/slots
Total,Function Execution Count,Instance,FunctionExecutionCount,Function Execution Count,Count,Microsoft.Web/sites/slots
Average,Connections,Instance,AppConnections,Connections,Count,Microsoft.Web/sites/slots
Average,Handle Count,Instance,Handles,Handle Count,Count,Microsoft.Web/sites/slots
Average,Thread Count,Instance,Threads,Thread Count,Count,Microsoft.Web/sites/slots
Total,Requests,Instance,Requests,Requests,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Data In,Instance,BytesReceived,Data In,Bytes,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Data Out,Instance,BytesSent,Data Out,Bytes,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 101,Instance,Http101,Http 101,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 2xx,Instance,Http2xx,Http 2xx,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 3xx,Instance,Http3xx,Http 3xx,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 401,Instance,Http401,Http 401,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 403,Instance,Http403,Http 403,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 404,Instance,Http404,Http 404,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 406,Instance,Http406,Http 406,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http 4xx,Instance,Http4xx,Http 4xx,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Http Server Errors,Instance,Http5xx,Http Server Errors,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Average Response Time,Instance,AverageResponseTime,Average Response Time,Seconds,Microsoft.Web/hostingEnvironments/multiRolePools
Average,CPU Percentage,Instance,CpuPercentage,CPU Percentage,Percent,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Memory Percentage,Instance,MemoryPercentage,Memory Percentage,Percent,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Disk Queue Length,Instance,DiskQueueLength,Disk Queue Length,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Http Queue Length,Instance,HttpQueueLength,Http Queue Length,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Total,Active Requests,Instance,ActiveRequests,Active Requests,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Total Front Ends,No Dimensions,TotalFrontEnds,Total Front Ends,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Small App Service Plan Workers,No Dimensions,SmallAppServicePlanInstances,Small App Service Plan Workers,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Medium App Service Plan Workers,No Dimensions,MediumAppServicePlanInstances,Medium App Service Plan Workers,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Large App Service Plan Workers,No Dimensions,LargeAppServicePlanInstances,Large App Service Plan Workers,Count,Microsoft.Web/hostingEnvironments/multiRolePools
Average,Total Workers,No Dimensions,WorkersTotal,Total Workers,Count,Microsoft.Web/hostingEnvironments/workerPools
Average,Available Workers,No Dimensions,WorkersAvailable,Available Workers,Count,Microsoft.Web/hostingEnvironments/workerPools
Average,Used Workers,No Dimensions,WorkersUsed,Used Workers,Count,Microsoft.Web/hostingEnvironments/workerPools
Average,CPU Percentage,Instance,CpuPercentage,CPU Percentage,Percent,Microsoft.Web/hostingEnvironments/workerPools
Average,Memory Percentage,Instance,MemoryPercentage,Memory Percentage,Percent,Microsoft.Web/hostingEnvironments/workerPools
